event_id,config_pt50_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt50_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt50_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt50_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt50_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt50_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt50_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt50_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt100_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt100_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt100_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt100_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt100_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt100_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt100_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt100_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt150_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt150_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt150_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt150_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt150_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt150_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt150_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt150_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt200_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt200_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt200_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt200_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt200_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt200_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt200_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt200_eta-3.0_3.0_neutralsFalse_secondariesFalse
53,635020,176977,173738,90059,510281,152461,148635,77205,577275,158485,164938,87826,472413,136881,141927,75447,537419,140312,156904,82548,420136,121884,130724,71388,459559,122598,139512,75455,381058,106203,120540,65229
54,713474,201011,198936,102512,576233,175111,167722,89337,655682,180551,189099,99936,524738,155044,162416,85794,592801,160322,177363,94556,464042,139044,147418,82305,526370,140832,159425,86816,421448,122196,136270,75403
55,635020,176977,173738,90059,510281,152461,148635,77205,577275,158485,164938,87826,472413,136881,141927,75447,537419,140312,156904,82548,420136,121884,130724,71388,459559,122598,139512,75455,381058,106203,120540,65229
56,602740,171423,171107,87630,488454,147000,143322,74659,560638,151746,163112,84256,436010,131074,134194,72966,498167,135067,150251,79936,396545,116077,125184,68776,447170,117924,136958,73275,359318,101079,114929,62722
57,635020,176977,173738,90059,510281,152461,148635,77205,577275,158485,164938,87826,472413,136881,141927,75447,537419,140312,156904,82548,420136,121884,130724,71388,459559,122598,139512,75455,381058,106203,120540,65229
58,602740,171423,171107,87630,488454,147000,143322,74659,560638,151746,163112,84256,436010,131074,134194,72966,498167,135067,150251,79936,396545,116077,125184,68776,447170,117924,136958,73275,359318,101079,114929,62722
59,688417,190183,192075,98350,525370,166285,157966,85453,613792,170342,178730,96145,496519,145932,153363,81846,548769,152208,165676,91182,435791,131527,139327,78679,487227,133611,150850,83313,403543,115260,128824,71731
60,602740,171423,171107,87630,488454,147000,143322,74659,560638,151746,163112,84256,436010,131074,134194,72966,498167,135067,150251,79936,396545,116077,125184,68776,447170,117924,136958,73275,359318,101079,114929,62722
61,688417,190183,192075,98350,525370,166285,157966,85453,613792,170342,178730,96145,496519,145932,153363,81846,548769,152208,165676,91182,435791,131527,139327,78679,487227,133611,150850,83313,403543,115260,128824,71731
62,683156,187247,186869,95466,557114,161011,157996,81476,622379,167204,177815,93230,488052,145012,148014,80369,556297,148393,159955,87339,446558,126473,137998,73684,505937,129916,150164,80144,408077,112393,126545,69417
63,688417,190183,192075,98350,525370,166285,157966,85453,613792,170342,178730,96145,496519,145932,153363,81846,548769,152208,165676,91182,435791,131527,139327,78679,487227,133611,150850,83313,403543,115260,128824,71731
64,683156,187247,186869,95466,557114,161011,157996,81476,622379,167204,177815,93230,488052,145012,148014,80369,556297,148393,159955,87339,446558,126473,137998,73684,505937,129916,150164,80144,408077,112393,126545,69417
